pid,Player,info
ahrench01,Chris Ahrens,"['Position: D\xa0•\xa0    Shoots: Right\n', '6-0,\xa0185lb\xa0(183cm,\xa083kg) ', ' Born:  July 31,\xa01952   in\xa0San\xa0Bernardino,\xa0California  us ', 'Draft: Minnesota, 5th round (76th\xa0overall), 1972\xa0NHL\xa0Amateur ', 'Amateur Teams: Kitchener\xa0Rangers ']"
aiellan01,Anthony Aiello,"['Position: D\n', ' Born:  May 19,\xa01986   ', 'Draft: Minnesota, 5th round (129th\xa0overall), 2005\xa0NHL\xa0Entry ']"
aikendo01,John Aiken,"['Position: G\xa0•\xa0    Catches: Left\n', '5-11,\xa0165lb\xa0(180cm,\xa074kg) ', ' Born:  January 1,\xa01932   in\xa0Arlington,\xa0Massachusetts  us ', 'Amateur Teams: Boston\xa0University ']"
aikinju01,Justin Aikins,"['Position: C\n', ' Born:  January 12,\xa01982   ', 'Draft: Columbus, 6th round (173rd\xa0overall), 2001\xa0NHL\xa0Entry ']"
ailsbll01,Lloyd Ailsby,"['Position: D\xa0•\xa0    Shoots: Left\n', '5-11,\xa0194lb\xa0(180cm,\xa087kg) ', ' Born:  May 11,\xa01917   in\xa0Lac\xa0Pelletier,\xa0Saskatchewan  ca ', 'Died: May\xa08,\xa02007  ']"
airolsa01,Santeri Airola,"['Position: D\xa0•\xa0    Shoots: Right\n', '5-11,\xa0163lb\xa0(180cm,\xa073kg) ', ' Born:  June 29,\xa02000   in\xa0Imatra,\xa0Finland  fi ', 'Draft: Pittsburgh, 7th round (211th\xa0overall), 2019\xa0NHL\xa0Entry ']"
aitkebr01,Brad Aitken,"['Position: LW\xa0•\xa0    Shoots: Left\n', '6-2,\xa0200lb\xa0(188cm,\xa090kg) ', ' Born:  October 30,\xa01967   in\xa0Scarborough,\xa0Ontario  ca ', 'Draft: Pittsburgh, 3rd round (46th\xa0overall), 1986\xa0NHL\xa0Entry ', 'Amateur Teams: Peterborough\xa0Petes, Sault\xa0Ste.\xa0Marie\xa0Greyhounds ']"
aitkejo01,Johnathan Aitken,"['Position: D\xa0•\xa0    Shoots: Left\n', '6-4,\xa0230lb\xa0(193cm,\xa0104kg) ', ' Born:  May 24,\xa01978   in\xa0Edmonton,\xa0Alberta  ca ', 'Draft: Boston, 1st round (8th\xa0overall), 1996\xa0NHL\xa0Entry ', 'Amateur Teams: Brandon\xa0Wheat\xa0Kings, Medicine\xa0Hat\xa0Tigers ']"
aitkean01,Andy Aitkenhead,"['Position: G\xa0•\xa0    Catches: Left\n', '5-9,\xa0145lb\xa0(175cm,\xa065kg) ', ' Born:  March 6,\xa01904   in\xa0Glasgow,\xa0United\xa0Kingdom  gb ', 'Died: 1968  ']"
aittosa01,Sami Aittokallio,"['Position: G\n', '6-1,\xa0174lb\xa0(185cm,\xa078kg) ', ' Born:  August 6,\xa01992   in\xa0Tampere,\xa0Finland  fi ', 'Draft: Colorado, 4th round (107th\xa0overall), 2010\xa0NHL\xa0Entry ', 'Pronunciation: \\SAHM-ee ay-toh-KAHL-ee-oh\\']"
aivazmi01,Micah Aivazoff,"['Position: C\xa0•\xa0    Shoots: Left\n', '6-0,\xa0195lb\xa0(183cm,\xa088kg) ', ' Born:  May 4,\xa01969   in\xa0Powell\xa0River,\xa0British Columbia  ca ', 'Draft: Los Angeles, 6th round (109th\xa0overall), 1988\xa0NHL\xa0Entry ', 'Amateur Teams: Victoria\xa0Cougars ']"
akerlma01,Magnus Akerlund,"['Position: G\n', ' Born:  April 25,\xa01986   ', 'Draft: Carolina, 5th round (137th\xa0overall), 2004\xa0NHL\xa0Entry ']"
akesoja01,Jason Akeson,"['Position: RW\xa0•\xa0    Shoots: Right\n', '5-10,\xa0190lb\xa0(178cm,\xa086kg) ', ' Born:  June 3,\xa01990   in\xa0Orleans,\xa0Ontario  ca ', 'Amateur Teams: Kitchener\xa0Rangers ', 'Pronunciation: \\JAY-suhn AK-uh-suhn\\', 'Twitter:\n@JasonAkeson']"
