Team,Name,Age,Pos,Birthplace,Nat.,YR_INT,pid
Detroit Red Wings,Steve Yzerman,23.0,C,"Cranbrook, BC",CA,1989,yzermst01
Edmonton Oilers,Mark Messier,28.0,LW/C,"Edmonton, AB",CA,1989,messima01
Hartford Whalers,Ron Francis,25.0,C,"Sault Ste. Marie, ON",CA,1989,francro01
Los Angeles Kings,Dave Taylor,33.0,RW,"Levack, ON",CA,1989,tayloda01
Minnesota North Stars,Curt Fraser,31.0,LW,"Cincinnati, OH",US,1989,frasecu01
Minnesota North Stars,Curt Giles,30.0,D,"The Pas, MB",CA,1989,gilescu01
Minnesota North Stars,Bob Rouse,24.0,D,"Surrey, BC",CA,1989,rousebo01
Montreal Canadiens,Bob Gainey,35.0,LW,"Peterborough, ON",CA,1989,gainebo01
New Jersey Devils,Kirk Muller,22.0,LW,"Kingston, ON",CA,1989,mulleki01
New York Islanders,Brent Sutter,26.0,C,"Viking, AB",CA,1989,suttebr02
New York Rangers,Kelly Kisio,29.0,C,"Peace River, AB",CA,1989,kisioke01
Philadelphia Flyers,Dave Poulin,30.0,C,"Timmins, ON",CA,1989,poulida02
Pittsburgh Penguins,Mario Lemieux,23.0,C,"Montreal, QC",CA,1989,lemiema01
Quebec Nordiques,Peter Stastny,32.0,C,Bratislava,CS,1989,stastpe01
St. Louis Blues,Bernie Federko,32.0,C,"Foam Lake, SK",CA,1989,federbe01
Toronto Maple Leafs,No Captain,,,,,1989,
Vancouver Canucks,Stan Smyl,31.0,RW,"Glendon, AB",CA,1989,smylst01
Washington Capitals,Rod Langway,31.0,D,Maag,TW,1989,langwro01
Winnipeg Jets,Dale Hawerchuk,25.0,C,"Toronto, ON",CA,1989,hawerda01
Boston Bruins,Ray Bourque,27.0,D,"Montreal, QC",CA,1988,bourqra01
Boston Bruins,Rick Middleton,34.0,RW,"Toronto, ON",CA,1988,middlri01
Buffalo Sabres,Lindy Ruff,27.0,D/LW,"Warburg, AB",CA,1988,ruffli01
Calgary Flames,Lanny McDonald,34.0,RW,"Hanna, AB",CA,1988,mcdonla01
Calgary Flames,Jim Peplinski,27.0,RW,"Renfrew, ON",CA,1988,pepliji01
Chicago Blackhawks,No Captain,,,,,1988,
Detroit Red Wings,Steve Yzerman,22.0,C,"Cranbrook, BC",CA,1988,yzermst01
Edmonton Oilers,Wayne Gretzky,27.0,C,"Brantford, ON",CA,1988,gretzwa01
Hartford Whalers,Ron Francis,24.0,C,"Sault Ste. Marie, ON",CA,1988,francro01
Los Angeles Kings,Dave Taylor,32.0,RW,"Levack, ON",CA,1988,tayloda01
Minnesota North Stars,Craig Hartsburg,28.0,D,"Stratford, ON",CA,1988,hartscr01
Montreal Canadiens,Bob Gainey,34.0,LW,"Peterborough, ON",CA,1988,gainebo01
New Jersey Devils,Kirk Muller,21.0,LW,"Kingston, ON",CA,1988,mulleki01
New York Islanders,Brent Sutter,25.0,C,"Viking, AB",CA,1988,suttebr02
New York Rangers,Ron Greschner,33.0,D,"Goodsoil, SK",CA,1988,grescro01
New York Rangers,Kelly Kisio,28.0,C,"Peace River, AB",CA,1988,kisioke01
Philadelphia Flyers,Dave Poulin,29.0,C,"Timmins, ON",CA,1988,poulida02
Pittsburgh Penguins,Dan Frawley,25.0,RW,"Sturgeon Falls, ON",CA,1988,frawlda01
Pittsburgh Penguins,Mario Lemieux,22.0,C,"Montreal, QC",CA,1988,lemiema01
Quebec Nordiques,Peter Stastny,31.0,C,Bratislava,CS,1988,stastpe01
St. Louis Blues,Brian Sutter,31.0,LW,"Viking, AB",CA,1988,suttebr01
Toronto Maple Leafs,No Captain,,,,,1988,
Vancouver Canucks,Stan Smyl,30.0,RW,"Glendon, AB",CA,1988,smylst01
Washington Capitals,Rod Langway,30.0,D,Maag,TW,1988,langwro01
Winnipeg Jets,Dale Hawerchuk,24.0,C,"Toronto, ON",CA,1988,hawerda01
Boston Bruins,Ray Bourque,26.0,D,"Montreal, QC",CA,1987,bourqra01
Boston Bruins,Rick Middleton,33.0,RW,"Toronto, ON",CA,1987,middlri01
Buffalo Sabres,Gilbert Perreault,36.0,C,"Victoriaville, QC",CA,1987,perregi01
Buffalo Sabres,Lindy Ruff,26.0,D/LW,"Warburg, AB",CA,1987,ruffli01
Calgary Flames,Lanny McDonald,33.0,RW,"Hanna, AB",CA,1987,mcdonla01
Calgary Flames,Jim Peplinski,26.0,RW,"Renfrew, ON",CA,1987,pepliji01
Calgary Flames,Doug Risebrough,33.0,C,"Guelph, ON",CA,1987,risebdo01
Chicago Blackhawks,Darryl Sutter,28.0,LW,"Viking, AB",CA,1987,sutteda01
Detroit Red Wings,Steve Yzerman,21.0,C,"Cranbrook, BC",CA,1987,yzermst01
Edmonton Oilers,Wayne Gretzky,26.0,C,"Brantford, ON",CA,1987,gretzwa01
Hartford Whalers,Ron Francis,23.0,C,"Sault Ste. Marie, ON",CA,1987,francro01
Los Angeles Kings,Dave Taylor,31.0,RW,"Levack, ON",CA,1987,tayloda01
Minnesota North Stars,Craig Hartsburg,27.0,D,"Stratford, ON",CA,1987,hartscr01
Montreal Canadiens,Bob Gainey,33.0,LW,"Peterborough, ON",CA,1987,gainebo01
New Jersey Devils,Mel Bridgman,31.0,C,"Trenton, ON",CA,1987,bridgme01
New York Islanders,Denis Potvin,33.0,D,"Ottawa, ON",CA,1987,potvide01
New York Rangers,Ron Greschner,32.0,D,"Goodsoil, SK",CA,1987,grescro01
Philadelphia Flyers,Dave Poulin,28.0,C,"Timmins, ON",CA,1987,poulida02
Pittsburgh Penguins,Mike Bullard,25.0,C,"Ottawa, ON",CA,1987,bullami01
Pittsburgh Penguins,Terry Ruskowski,32.0,C,"Prince Albert, SK",CA,1987,ruskote01
Quebec Nordiques,Peter Stastny,30.0,C,Bratislava,CS,1987,stastpe01
St. Louis Blues,Brian Sutter,30.0,LW,"Viking, AB",CA,1987,suttebr01
Toronto Maple Leafs,No Captain,,,,,1987,
Vancouver Canucks,Stan Smyl,29.0,RW,"Glendon, AB",CA,1987,smylst01
Washington Capitals,Rod Langway,29.0,D,Maag,TW,1987,langwro01
Winnipeg Jets,Dale Hawerchuk,23.0,C,"Toronto, ON",CA,1987,hawerda01
Boston Bruins,Ray Bourque,25.0,D,"Montreal, QC",CA,1986,bourqra01
Boston Bruins,Rick Middleton,32.0,RW,"Toronto, ON",CA,1986,middlri01
Buffalo Sabres,Gilbert Perreault,35.0,C,"Victoriaville, QC",CA,1986,perregi01
Calgary Flames,Lanny McDonald,32.0,RW,"Hanna, AB",CA,1986,mcdonla01
Calgary Flames,Jim Peplinski,25.0,RW,"Renfrew, ON",CA,1986,pepliji01
Calgary Flames,Doug Risebrough,32.0,C,"Guelph, ON",CA,1986,risebdo01
Chicago Black Hawks,Bob Murray,31.0,D,"Kingston, ON",CA,1986,murrabo02
Chicago Black Hawks,Darryl Sutter,27.0,LW,"Viking, AB",CA,1986,sutteda01
Detroit Red Wings,Danny Gare,31.0,RW,"Nelson, BC",CA,1986,gareda01
Edmonton Oilers,Wayne Gretzky,25.0,C,"Brantford, ON",CA,1986,gretzwa01
Hartford Whalers,Ron Francis,22.0,C,"Sault Ste. Marie, ON",CA,1986,francro01
Los Angeles Kings,Dave Taylor,30.0,RW,"Levack, ON",CA,1986,tayloda01
Minnesota North Stars,Craig Hartsburg,26.0,D,"Stratford, ON",CA,1986,hartscr01
Montreal Canadiens,Bob Gainey,32.0,LW,"Peterborough, ON",CA,1986,gainebo01
New Jersey Devils,Mel Bridgman,30.0,C,"Trenton, ON",CA,1986,bridgme01
New York Islanders,Denis Potvin,32.0,D,"Ottawa, ON",CA,1986,potvide01
New York Rangers,Barry Beck,28.0,D,"Vancouver, BC",CA,1986,beckba01
Philadelphia Flyers,Dave Poulin,27.0,C,"Timmins, ON",CA,1986,poulida02
Pittsburgh Penguins,Mike Bullard,24.0,C,"Ottawa, ON",CA,1986,bullami01
Quebec Nordiques,Mario Marois,28.0,D,"Quebec City, QC",CA,1986,maroima01
Quebec Nordiques,Peter Stastny,29.0,C,Bratislava,CS,1986,stastpe01
St. Louis Blues,Brian Sutter,29.0,LW,"Viking, AB",CA,1986,suttebr01
Toronto Maple Leafs,Rick Vaive,26.0,RW,"Ottawa, ON",CA,1986,vaiveri01
Vancouver Canucks,Stan Smyl,28.0,RW,"Glendon, AB",CA,1986,smylst01
Washington Capitals,Rod Langway,28.0,D,Maag,TW,1986,langwro01
Winnipeg Jets,Dale Hawerchuk,22.0,C,"Toronto, ON",CA,1986,hawerda01
Boston Bruins,Terry O'Reilly,33.0,RW,"Niagara Falls, ON",CA,1985,oreilte01
Buffalo Sabres,Gilbert Perreault,34.0,C,"Victoriaville, QC",CA,1985,perregi01
Calgary Flames,Lanny McDonald,31.0,RW,"Hanna, AB",CA,1985,mcdonla01
Calgary Flames,Jim Peplinski,24.0,RW,"Renfrew, ON",CA,1985,pepliji01
Calgary Flames,Doug Risebrough,31.0,C,"Guelph, ON",CA,1985,risebdo01
Chicago Black Hawks,Darryl Sutter,26.0,LW,"Viking, AB",CA,1985,sutteda01
Detroit Red Wings,Danny Gare,30.0,RW,"Nelson, BC",CA,1985,gareda01
Edmonton Oilers,Wayne Gretzky,24.0,C,"Brantford, ON",CA,1985,gretzwa01
Hartford Whalers,Ron Francis,21.0,C,"Sault Ste. Marie, ON",CA,1985,francro01
Hartford Whalers,Mark Johnson,27.0,C,"Minneapolis, MN",US,1985,johnsma02
Los Angeles Kings,Terry Ruskowski,30.0,C,"Prince Albert, SK",CA,1985,ruskote01
Minnesota North Stars,Craig Hartsburg,25.0,D,"Stratford, ON",CA,1985,hartscr01
Montreal Canadiens,Bob Gainey,31.0,LW,"Peterborough, ON",CA,1985,gainebo01
New Jersey Devils,Mel Bridgman,29.0,C,"Trenton, ON",CA,1985,bridgme01
New York Islanders,Denis Potvin,31.0,D,"Ottawa, ON",CA,1985,potvide01
New York Rangers,Barry Beck,27.0,D,"Vancouver, BC",CA,1985,beckba01
Philadelphia Flyers,Dave Poulin,26.0,C,"Timmins, ON",CA,1985,poulida02
Pittsburgh Penguins,Mike Bullard,23.0,C,"Ottawa, ON",CA,1985,bullami01
Quebec Nordiques,Mario Marois,27.0,D,"Quebec City, QC",CA,1985,maroima01
St. Louis Blues,Brian Sutter,28.0,LW,"Viking, AB",CA,1985,suttebr01
Toronto Maple Leafs,Rick Vaive,25.0,RW,"Ottawa, ON",CA,1985,vaiveri01
Vancouver Canucks,Stan Smyl,27.0,RW,"Glendon, AB",CA,1985,smylst01
Washington Capitals,Rod Langway,27.0,D,Maag,TW,1985,langwro01
Winnipeg Jets,Dale Hawerchuk,21.0,C,"Toronto, ON",CA,1985,hawerda01
Boston Bruins,Terry O'Reilly,32.0,RW,"Niagara Falls, ON",CA,1984,oreilte01
Buffalo Sabres,Gilbert Perreault,33.0,C,"Victoriaville, QC",CA,1984,perregi01
Calgary Flames,Lanny McDonald,30.0,RW,"Hanna, AB",CA,1984,mcdonla01
Calgary Flames,Doug Risebrough,30.0,C,"Guelph, ON",CA,1984,risebdo01
Chicago Black Hawks,Darryl Sutter,25.0,LW,"Viking, AB",CA,1984,sutteda01
Detroit Red Wings,Danny Gare,29.0,RW,"Nelson, BC",CA,1984,gareda01
Edmonton Oilers,Wayne Gretzky,23.0,C,"Brantford, ON",CA,1984,gretzwa01
Hartford Whalers,Mark Johnson,26.0,C,"Minneapolis, MN",US,1984,johnsma02
Los Angeles Kings,Terry Ruskowski,29.0,C,"Prince Albert, SK",CA,1984,ruskote01
Minnesota North Stars,Brian Bellows,19.0,LW,"St. Catharines, ON",CA,1984,bellobr01
Minnesota North Stars,Craig Hartsburg,24.0,D,"Stratford, ON",CA,1984,hartscr01
Montreal Canadiens,Bob Gainey,30.0,LW,"Peterborough, ON",CA,1984,gainebo01
New Jersey Devils,Mel Bridgman,28.0,C,"Trenton, ON",CA,1984,bridgme01
New Jersey Devils,Don Lever,31.0,LW,"South Porcupine, ON",CA,1984,leverdo01
New York Islanders,Denis Potvin,30.0,D,"Ottawa, ON",CA,1984,potvide01
New York Rangers,Barry Beck,26.0,D,"Vancouver, BC",CA,1984,beckba01
Philadelphia Flyers,Bobby Clarke,34.0,C,"Flin Flon, MB",CA,1984,clarkbo01
Pittsburgh Penguins,Randy Carlyle,27.0,D,"Sudbury, ON",CA,1984,carlyra01
Quebec Nordiques,Mario Marois,26.0,D,"Quebec City, QC",CA,1984,maroima01
St. Louis Blues,Brian Sutter,27.0,LW,"Viking, AB",CA,1984,suttebr01
Toronto Maple Leafs,Rick Vaive,24.0,RW,"Ottawa, ON",CA,1984,vaiveri01
Vancouver Canucks,Stan Smyl,26.0,RW,"Glendon, AB",CA,1984,smylst01
Washington Capitals,Rod Langway,26.0,D,Maag,TW,1984,langwro01
Winnipeg Jets,Lucien DeBlois,26.0,C,"Joliette, QC",CA,1984,deblolu01
Boston Bruins,Wayne Cashman,37.0,LW,"Kingston, ON",CA,1983,cashmwa01
Buffalo Sabres,Gilbert Perreault,32.0,C,"Victoriaville, QC",CA,1983,perregi01
Calgary Flames,Phil Russell,30.0,D,"Edmonton, AB",CA,1983,russeph01
Chicago Black Hawks,Darryl Sutter,24.0,LW,"Viking, AB",CA,1983,sutteda01
Detroit Red Wings,Danny Gare,28.0,RW,"Nelson, BC",CA,1983,gareda01
Edmonton Oilers,Lee Fogolin,27.0,D,"Chicago, IL",US,1983,fogolle02
Hartford Whalers,Russ Anderson,27.0,D,"Minneapolis, MN",US,1983,anderru01
Los Angeles Kings,Dave Lewis,29.0,D,"Kindersley, SK",CA,1983,lewisda02
Minnesota North Stars,Craig Hartsburg,23.0,D,"Stratford, ON",CA,1983,hartscr01
Montreal Canadiens,Bob Gainey,29.0,LW,"Peterborough, ON",CA,1983,gainebo01
New Jersey Devils,Don Lever,30.0,LW,"South Porcupine, ON",CA,1983,leverdo01
New York Islanders,Denis Potvin,29.0,D,"Ottawa, ON",CA,1983,potvide01
New York Rangers,Barry Beck,25.0,D,"Vancouver, BC",CA,1983,beckba01
Philadelphia Flyers,Bill Barber,30.0,LW,"Callander, ON",CA,1983,barbebi01
Philadelphia Flyers,Bobby Clarke,33.0,C,"Flin Flon, MB",CA,1983,clarkbo01
Pittsburgh Penguins,Randy Carlyle,26.0,D,"Sudbury, ON",CA,1983,carlyra01
Quebec Nordiques,Mario Marois,25.0,D,"Quebec City, QC",CA,1983,maroima01
St. Louis Blues,Brian Sutter,26.0,LW,"Viking, AB",CA,1983,suttebr01
Toronto Maple Leafs,Rick Vaive,23.0,RW,"Ottawa, ON",CA,1983,vaiveri01
Vancouver Canucks,Stan Smyl,25.0,RW,"Glendon, AB",CA,1983,smylst01
Washington Capitals,Rod Langway,25.0,D,Maag,TW,1983,langwro01
Winnipeg Jets,Dave Christian,23.0,RW,"Warroad, MN",US,1983,chrisda01
Winnipeg Jets,Lucien DeBlois,25.0,C,"Joliette, QC",CA,1983,deblolu01
Boston Bruins,Wayne Cashman,36.0,LW,"Kingston, ON",CA,1982,cashmwa01
Buffalo Sabres,Danny Gare,27.0,RW,"Nelson, BC",CA,1982,gareda01
Buffalo Sabres,Gilbert Perreault,31.0,C,"Victoriaville, QC",CA,1982,perregi01
Calgary Flames,Phil Russell,29.0,D,"Edmonton, AB",CA,1982,russeph01
Chicago Black Hawks,Terry Ruskowski,27.0,C,"Prince Albert, SK",CA,1982,ruskote01
Colorado Rockies,Lanny McDonald,28.0,RW,"Hanna, AB",CA,1982,mcdonla01
Colorado Rockies,Rob Ramage,23.0,D,"Byron, ON",CA,1982,ramagro01
Detroit Red Wings,Reed Larson,25.0,D,"Minneapolis, MN",US,1982,larsore01
Edmonton Oilers,Lee Fogolin,26.0,D,"Chicago, IL",US,1982,fogolle02
Hartford Whalers,Dave Keon,41.0,C,"Noranda, QC",CA,1982,keonda01
Los Angeles Kings,Dave Lewis,28.0,D,"Kindersley, SK",CA,1982,lewisda02
Minnesota North Stars,Tim Young,26.0,C,"Scarborough, ON",CA,1982,youngti01
Montreal Canadiens,Bob Gainey,28.0,LW,"Peterborough, ON",CA,1982,gainebo01
New York Islanders,Denis Potvin,28.0,D,"Ottawa, ON",CA,1982,potvide01
New York Rangers,Barry Beck,24.0,D,"Vancouver, BC",CA,1982,beckba01
Philadelphia Flyers,Bill Barber,29.0,LW,"Callander, ON",CA,1982,barbebi01
Pittsburgh Penguins,Randy Carlyle,25.0,D,"Sudbury, ON",CA,1982,carlyra01
Quebec Nordiques,Andre Dupont,32.0,D,"Trois-Rivieres, QC",CA,1982,duponan01
Quebec Nordiques,Robbie Ftorek,30.0,C/LW,"Needham, MA",US,1982,ftorero01
St. Louis Blues,Brian Sutter,25.0,LW,"Viking, AB",CA,1982,suttebr01
Toronto Maple Leafs,Rick Vaive,22.0,RW,"Ottawa, ON",CA,1982,vaiveri01
Vancouver Canucks,Kevin McCarthy,24.0,D,"Winnipeg, MB",CA,1982,mccarke01
Washington Capitals,Ryan Walter,23.0,C/LW,"New Westminster, BC",CA,1982,waltery01
Winnipeg Jets,Dave Christian,22.0,RW,"Warroad, MN",US,1982,chrisda01
Boston Bruins,Wayne Cashman,35.0,LW,"Kingston, ON",CA,1981,cashmwa01
Buffalo Sabres,Danny Gare,26.0,RW,"Nelson, BC",CA,1981,gareda01
Calgary Flames,Brad Marsh,22.0,D,"London, ON",CA,1981,marshbr01
Chicago Black Hawks,Terry Ruskowski,26.0,C,"Prince Albert, SK",CA,1981,ruskote01
Colorado Rockies,Lanny McDonald,27.0,RW,"Hanna, AB",CA,1981,mcdonla01
Detroit Red Wings,Reed Larson,24.0,D,"Minneapolis, MN",US,1981,larsore01
Detroit Red Wings,Errol Thompson,30.0,LW,"Summerside, PE",CA,1981,thomper01
Edmonton Oilers,Lee Fogolin,25.0,D,"Chicago, IL",US,1981,fogolle02
Edmonton Oilers,Blair MacDonald,27.0,RW,"Cornwall, ON",CA,1981,macdobl01
Hartford Whalers,Rick Ley,32.0,D,"Orillia, ON",CA,1981,leyri01
Hartford Whalers,Mike Rogers,26.0,C,"Calgary, AB",CA,1981,rogermi01
Los Angeles Kings,Mike Murphy,30.0,RW,"Toronto, ON",CA,1981,murphmi01
Minnesota North Stars,Paul Shmyr,35.0,D,"Cudworth, SK",CA,1981,shmyrpa01
Montreal Canadiens,Serge Savard,35.0,D,"Montreal, QC",CA,1981,savarse01
New York Islanders,Denis Potvin,27.0,D,"Ottawa, ON",CA,1981,potvide01
New York Rangers,Barry Beck,23.0,D,"Vancouver, BC",CA,1981,beckba01
New York Rangers,Dave Maloney,24.0,D,"Kitchener, ON",CA,1981,malonda02
New York Rangers,Walt Tkaczuk,33.0,C,Emsdetten,DE,1981,tkaczwa01
Philadelphia Flyers,Mel Bridgman,25.0,C,"Trenton, ON",CA,1981,bridgme01
Pittsburgh Penguins,Orest Kindrachuk,30.0,C,"Nanton, AB",CA,1981,kindror01
Quebec Nordiques,Marc Tardif,31.0,LW,"Granby, QC",CA,1981,tardima01
St. Louis Blues,Brian Sutter,24.0,LW,"Viking, AB",CA,1981,suttebr01
Toronto Maple Leafs,Darryl Sittler,30.0,C,"Kitchener, ON",CA,1981,sittlda01
Vancouver Canucks,Kevin McCarthy,23.0,D,"Winnipeg, MB",CA,1981,mccarke01
Washington Capitals,Ryan Walter,22.0,C/LW,"New Westminster, BC",CA,1981,waltery01
Winnipeg Jets,Morris Lukowich,24.0,LW,"Speers, SK",CA,1981,lukowmo01
Atlanta Flames,Jean Pronovost,34.0,RW,"Shawinigan Falls, QC",CA,1980,pronoje01
Boston Bruins,Wayne Cashman,34.0,LW,"Kingston, ON",CA,1980,cashmwa01
Buffalo Sabres,Danny Gare,25.0,RW,"Nelson, BC",CA,1980,gareda01
Chicago Black Hawks,Keith Magnuson,32.0,D,"Saskatoon, SK",CA,1980,magnuke01
Chicago Black Hawks,Terry Ruskowski,25.0,C,"Prince Albert, SK",CA,1980,ruskote01
Colorado Rockies,Mike Christie,30.0,D,"Big Spring, TX",US,1980,chrismi01
Colorado Rockies,Lanny McDonald,26.0,RW,"Hanna, AB",CA,1980,mcdonla01
Colorado Rockies,René Robert,31.0,RW,"Trois-Rivieres, QC",CA,1980,roberre01
Detroit Red Wings,Dale McCourt,23.0,C,"Falconbridge, ON",CA,1980,mccouda01
Edmonton Oilers,Ron Chipperfield,25.0,C,"Brandon, MB",CA,1980,chippro01
Hartford Whalers,Rick Ley,31.0,D,"Orillia, ON",CA,1980,leyri01
Los Angeles Kings,Mike Murphy,29.0,RW,"Toronto, ON",CA,1980,murphmi01
Minnesota North Stars,Paul Shmyr,34.0,D,"Cudworth, SK",CA,1980,shmyrpa01
Montreal Canadiens,Serge Savard,34.0,D,"Montreal, QC",CA,1980,savarse01
New York Islanders,Denis Potvin,26.0,D,"Ottawa, ON",CA,1980,potvide01
New York Rangers,Dave Maloney,23.0,D,"Kitchener, ON",CA,1980,malonda02
Philadelphia Flyers,Mel Bridgman,24.0,C,"Trenton, ON",CA,1980,bridgme01
Pittsburgh Penguins,Orest Kindrachuk,29.0,C,"Nanton, AB",CA,1980,kindror01
Quebec Nordiques,Marc Tardif,30.0,LW,"Granby, QC",CA,1980,tardima01
St. Louis Blues,Brian Sutter,23.0,LW,"Viking, AB",CA,1980,suttebr01
Toronto Maple Leafs,Darryl Sittler,29.0,C,"Kitchener, ON",CA,1980,sittlda01
Vancouver Canucks,Kevin McCarthy,22.0,D,"Winnipeg, MB",CA,1980,mccarke01
Washington Capitals,Ryan Walter,21.0,C/LW,"New Westminster, BC",CA,1980,waltery01
Winnipeg Jets,Lars-Erik Sjoberg,35.0,D,Falun,SE,1980,sjobela01
Atlanta Flames,Tom Lysiak,25.0,C,"High Prairie, AB",CA,1979,lysiato01
Boston Bruins,Wayne Cashman,33.0,LW,"Kingston, ON",CA,1979,cashmwa01
Buffalo Sabres,Danny Gare,24.0,RW,"Nelson, BC",CA,1979,gareda01
Chicago Black Hawks,Keith Magnuson,31.0,D,"Saskatoon, SK",CA,1979,magnuke01
Colorado Rockies,Gary Croteau,32.0,LW,"Sudbury, ON",CA,1979,crotega01
Detroit Red Wings,Dennis Hextall,35.0,LW,"Poplar Point, MB",CA,1979,hextade01
Detroit Red Wings,Nick Libett,33.0,LW,"Stratford, ON",CA,1979,libetni01
Detroit Red Wings,Paul Woods,23.0,LW,"Hespeler, ON",CA,1979,woodspa01
Los Angeles Kings,Mike Murphy,28.0,RW,"Toronto, ON",CA,1979,murphmi01
Minnesota North Stars,J.P. Parise,37.0,LW,"Smooth Rock Falls, ON",CA,1979,parisjp01
Montreal Canadiens,Yvan Cournoyer,35.0,RW,"Drummondville, QC",CA,1979,cournyv01
New York Islanders,Clark Gillies,24.0,LW,"Moose Jaw, SK",CA,1979,gillicl01
New York Rangers,Dave Maloney,22.0,D,"Kitchener, ON",CA,1979,malonda02
Philadelphia Flyers,Bobby Clarke,29.0,C,"Flin Flon, MB",CA,1979,clarkbo01
Pittsburgh Penguins,Orest Kindrachuk,28.0,C,"Nanton, AB",CA,1979,kindror01
St. Louis Blues,Barry Gibbs,30.0,D,"Lloydminster, SK",CA,1979,gibbsba01
Toronto Maple Leafs,Darryl Sittler,28.0,C,"Kitchener, ON",CA,1979,sittlda01
Vancouver Canucks,Don Lever,26.0,LW,"South Porcupine, ON",CA,1979,leverdo01
Washington Capitals,Guy Charron,30.0,C,"Verdun, QC",CA,1979,charrgu01
Atlanta Flames,Tom Lysiak,24.0,C,"High Prairie, AB",CA,1978,lysiato01
Boston Bruins,Wayne Cashman,32.0,LW,"Kingston, ON",CA,1978,cashmwa01
Buffalo Sabres,Danny Gare,23.0,RW,"Nelson, BC",CA,1978,gareda01
Chicago Black Hawks,Keith Magnuson,30.0,D,"Saskatoon, SK",CA,1978,magnuke01
Colorado Rockies,Wilf Paiement,22.0,RW,"Earlton, ON",CA,1978,paiemwi01
Detroit Red Wings,Dennis Hextall,34.0,LW,"Poplar Point, MB",CA,1978,hextade01
Detroit Red Wings,Dan Maloney,27.0,LW,"Barrie, ON",CA,1978,malonda01
Los Angeles Kings,Mike Murphy,27.0,RW,"Toronto, ON",CA,1978,murphmi01
